"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2007","39,889.00","40,286.00","40,422.00","38,251.00","14.00B","-0.74%"
"08/01/2007","40,187.00","39,416.00","40,670.00","37,568.00","16.39B","-0.08%"
"07/01/2007","40,221.00","41,954.00","42,735.00","39,360.00","14.35B","-4.13%"
"06/01/2007","41,954.00","43,183.00","43,243.00","41,269.00","17.81B","-2.61%"
"05/01/2007","43,079.00","43,934.00","44,364.00","42,458.00","22.50B","-1.54%"
"04/01/2007","43,755.00","41,831.00","43,998.00","41,688.00","19.76B","4.75%"
"03/01/2007","41,771.00","41,156.00","41,970.00","39,290.00","18.12B","1.50%"
"02/01/2007","41,155.00","42,505.00","43,020.00","40,918.00","13.94B","-2.47%"
"01/01/2007","42,197.00","41,842.00","42,720.00","41,234.00","14.55B","1.84%"
"12/01/2006","41,434.00","40,388.00","41,531.00","39,758.00","11.25B","2.89%"
"11/01/2006","40,270.00","39,577.00","41,034.00","39,433.00","15.14B","1.80%"
"10/01/2006","39,558.00","38,569.00","39,746.00","38,139.00","13.58B","2.81%"
"09/01/2006","38,475.00","37,976.00","38,604.00","37,439.00","13.22B","1.42%"
"08/01/2006","37,938.00","36,636.00","38,065.00","36,238.00","9.20B","3.64%"
"07/01/2006","36,606.00","36,511.00","36,738.00","35,084.00","8.32B","0.44%"
"06/01/2006","36,444.00","36,420.00","36,941.00","34,655.00","13.47B","-0.02%"
"05/01/2006","36,450.00","37,864.00","38,896.00","35,206.00","15.96B","-3.50%"
"04/01/2006","37,773.00","38,115.00","38,606.00","37,289.00","11.95B","-0.41%"
"03/01/2006","37,928.00","37,651.00","38,790.00","37,008.00","13.52B","0.74%"
"02/01/2006","37,650.00","36,589.00","38,330.00","36,187.00","10.97B","2.72%"
"01/01/2006","36,654.00","35,756.00","36,837.00","35,395.00","11.81B","2.66%"
"12/01/2005","35,704.00","34,152.00","36,056.00","34,152.00","9.11B","4.73%"
"11/01/2005","34,090.00","32,708.00","34,639.00","32,568.00","11.68B","3.99%"
"10/01/2005","32,782.00","34,851.00","34,883.00","31,732.00","11.33B","-5.73%"
"09/01/2005","34,775.00","33,607.00","34,995.00","33,592.00","12.02B","3.74%"
"08/01/2005","33,520.00","33,704.00","34,086.00","32,980.00","7.68B","-0.51%"
"07/01/2005","33,693.00","32,286.00","33,896.00","31,248.00","10.95B","4.17%"
"06/01/2005","32,343.00","31,792.00","32,928.00","31,633.00","14.18B","1.90%"
"05/01/2005","31,739.00","31,019.00","31,881.00","30,957.00","13.31B","2.68%"
"04/01/2005","30,911.00","32,329.00","32,964.00","30,713.00","13.98B","-4.31%"
"03/01/2005","32,302.00","31,770.00","32,446.00","31,494.00","11.99B","1.42%"
"02/01/2005","31,850.00","31,363.00","32,410.00","31,170.00","12.21B","1.65%"
"01/01/2005","31,334.00","30,923.00","31,363.00","30,569.00","12.21B","1.39%"
"12/01/2004","30,903.00","29,563.00","30,961.00","29,563.00","12.09B","4.35%"
"11/01/2004","29,615.00","28,671.00","30,044.00","28,663.00","14.63B","3.26%"
"10/01/2004","28,681.00","27,852.00","28,846.00","27,848.00","11.16B","3.19%"
"09/01/2004","27,794.00","27,023.00","28,192.00","27,002.00","12.14B","3.27%"
"08/01/2004","26,913.00","27,463.00","27,571.00","26,040.00","7.74B","-2.27%"
"07/01/2004","27,538.00","28,190.00","28,329.00","26,864.00","9.44B","-1.97%"
"06/01/2004","28,092.00","27,441.00","28,674.00","27,157.00","11.22B","2.69%"
"05/01/2004","27,355.00","28,020.00","28,358.00","26,784.00","12.55B","-2.37%"
"04/01/2004","28,020.00","27,148.00","28,713.00","27,116.00","13.65B","3.21%"
"03/01/2004","27,148.00","27,957.00","28,492.00","26,263.00","14.66B","-2.89%"
"02/01/2004","27,957.00","27,774.00","28,152.00","27,432.00","11.10B","0.66%"
"01/01/2004","27,774.00","26,887.00","28,407.00","26,887.00","12.30B","3.30%"
"12/01/2003","26,887.00","27,156.00","27,849.00","26,754.00","10.41B","-0.99%"
"11/01/2003","27,156.00","25,973.00","27,227.00","25,973.00","11.04B","4.55%"
"10/01/2003","25,973.00","24,616.00","26,129.00","24,567.00","12.23B","5.52%"
"09/01/2003","24,615.00","25,246.00","26,227.00","24,531.00","12.25B","-2.50%"
"08/01/2003","25,247.00","25,131.00","25,753.00","24,424.00","8.40B","0.46%"
"07/01/2003","25,132.00","24,196.57","25,248.00","24,196.57","10.78B","1.84%"
"06/01/2003","24,677.28","25,197.03","25,853.43","24,677.28","12.36B","-1.08%"
"05/01/2003","24,945.70","23,918.39","24,945.70","23,322.99","10.94B","4.43%"
"04/01/2003","23,886.67","21,802.78","23,952.55","21,802.78","11.06B","10.56%"
"03/01/2003","21,605.12","23,086.30","23,086.30","20,324.04","13.03B","-7.19%"
"02/01/2003","23,279.07","22,754.44","23,457.20","22,061.43","10.15B","3.31%"
"01/01/2003","22,532.38","24,450.34","24,804.17","21,751.53","10.65B","-4.15%"
"12/01/2002","23,508.44","25,892.47","25,892.47","23,352.27","9.82B","-9.30%"
"11/01/2002","25,919.32","23,266.87","25,926.64","22,937.45","12.76B","10.03%"
"10/01/2002","23,557.25","21,458.71","23,557.25","20,424.09","13.48B","10.71%"
"09/01/2002","21,278.14","25,150.67","25,550.85","21,278.14","10.38B","-16.73%"
"08/01/2002","25,553.29","24,511.35","26,946.62","23,823.22","7.98B","1.02%"
"07/01/2002","25,294.64","28,249.66","28,249.66","23,496.24","12.11B","-9.95%"
"06/01/2002","28,091.05","29,735.72","29,735.72","27,039.35","9.82B","-6.81%"
"05/01/2002","30,143.22","31,880.61","32,129.51","30,143.22","9.65B","-7.18%"
"04/01/2002","32,473.57","33,520.40","33,705.85","32,473.57","8.99B","-3.58%"
"03/01/2002","33,679.01","32,068.50","33,679.01","32,068.50","8.61B","5.84%"
"02/01/2002","31,819.61","32,117.31","32,117.31","30,033.42","7.78B","-1.09%"
"01/01/2002","32,170.99","32,044.10","32,763.95","31,307.18","7.82B","-0.45%"
"12/01/2001","32,317.40","31,592.67","33,364.23","30,997.28","6.64B","1.35%"
"11/01/2001","31,885.49","30,658.10","33,029.93","30,543.41","10.43B","4.22%"
"10/01/2001","30,594.65","28,249.66","31,790.33","28,249.66","10.87B","5.49%"
"09/01/2001","29,001.23","34,303.69","34,303.69","23,896.43","13.00B","-16.29%"
"08/01/2001","34,642.87","36,743.84","36,860.97","34,642.87","6.76B","-5.11%"
"07/01/2001","36,507.15","38,129.85","38,129.85","35,152.86","8.05B","-2.16%"
"06/01/2001","37,314.84","38,747.21","39,183.99","36,402.22","8.10B","-4.31%"
"05/01/2001","38,996.10","41,123.92","41,123.92","38,996.10","8.94B","-5.17%"
"04/01/2001","41,121.48","39,069.31","41,121.48","37,939.52","8.24B","5.45%"
"03/01/2001","38,996.10","39,337.72","40,018.53","35,919.07","10.80B","-2.60%"
"02/01/2001","40,035.61","44,579.17","44,579.17","39,884.32","8.05B","-11.16%"
"01/01/2001","45,067.21","42,758.82","45,067.21","41,746.16","10.05B","3.22%"
"12/01/2000","43,661.68","46,426.37","46,426.37","42,941.83","7.88B","-5.68%"
"11/01/2000","46,289.72","48,046.63","48,437.06","46,289.72","","-2.46%"
"10/01/2000","47,458.56","45,940.78","47,458.56","43,451.82","","4.49%"
"09/01/2000","45,418.59","48,322.37","48,634.71","45,142.85","","-5.64%"
"08/01/2000","48,134.48","46,184.80","48,134.48","45,606.48","","3.94%"
"07/01/2000","46,309.24","46,728.95","48,215.00","45,779.73","","-0.30%"
"06/01/2000","46,448.33","45,999.34","46,772.87","45,372.22","","2.73%"
"05/01/2000","45,213.61","46,167.72","46,567.90","43,100.44","","0.92%"
"04/01/2000","44,801.23","44,218.03","45,274.62","42,651.45","","-1.30%"
"03/01/2000","45,391.75","48,676.19","50,108.56","45,391.75","","-6.37%"
"02/01/2000","48,478.54","42,402.56","48,478.54","42,402.56","","16.92%"
"01/01/2000","41,463.10","41,226.40","42,012.13","38,835.05","","-2.68%"
"12/01/1999","42,605.09","36,834.13","42,605.09","36,773.12","","17.26%"
"11/01/1999","36,333.89","34,059.67","36,594.99","34,059.67","","6.15%"
"10/01/1999","34,228.04","35,255.35","35,540.84","32,873.76","","-2.95%"
"09/01/1999","35,269.99","35,470.08","36,124.04","34,789.28","","0.20%"
"08/01/1999","35,199.22","34,403.73","36,238.73","33,044.57","","3.41%"
"07/01/1999","34,040.15","37,102.54","38,317.74","33,281.26","","-7.29%"
